,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
708,DR101,Kangkung tondano,KZGMI-2001,sayuran,single,88.5,43,1.8,0.2,8.4,4.3,1.1,72,9,0.7,30,361,0.3,0.4,,2741,,0.8,0.1,1.1,23,60
709,DR102,"Kapri muda, segar",DABM-1964,sayuran,single,86.8,45,3.3,0.2,9,1.8,0.7,51,85,1,2,118.4,0.09,0.7,,72,440,0.2,0.1,0.9,49,80
710,DR103,Karawila,KZGMI-2001,sayuran,single,93.7,25,2.3,0.2,3.5,2.1,0.3,25,67,0.3,8,88.4,0.08,0.3,,21,,0.1,0.1,0.4,39,80
711,DR104,"Kecipir muda, segar",DABM-1964,sayuran,single,90.4,32,2.9,0.2,5.8,5.5,0.7,63,37,0.3,3,103.8,0.18,0.4,,261,595,0.24,0.11,0.7,19,96
712,DR105,"Kecombrang, segar",KZGPI-1990,sayuran,single,90,34,0.9,1,6.7,2.6,1.4,60,16,1,47,650.6,,,0,0,73,0,0.02,0.8,0,100
713,DR106,"Kelawi,kluwih, segar",DABM-1964,sayuran,single,70,118,1.5,0.3,27.2,5,1,28,32,0.9,2,500.9,0.09,0.1,,0,20,0.1,0.03,0.9,19,77
714,DR107,"Kembang turi, segar",DABM-1964,sayuran,single,87.4,51,1.8,0.6,9.6,5,0.6,23,29,0.9,22,275.3,0.15,0.9,,201,105,0.13,0.12,0.6,41,83
715,DR108,"Kerokot, segar",DABM-1964,sayuran,single,93,26,1.7,0.4,3.8,1,1.1,103,39,3.6,4,240.5,0.23,0.9,,0,2550,0.03,0.09,0.2,25,80
716,DR109,"Ketimun, segar",KZGPI-1990,sayuran,single,97.9,8,0.2,0.2,1.4,0.3,0.3,29,95,0.8,2,57.1,0.02,0.1,0,18,314,0.01,0.02,0.1,1,55
717,DR110,"Ketimun krai, segar",KZGPI-1990,sayuran,single,96.8,10,0.5,0.2,2,0.6,0.5,20,98,1,10,82.1,0.03,0.1,0,19,21,0.02,0.03,0.1,3,82
