,KODE,NAMA BAHAN,SUMBER,Food Group,Type,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KH (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA(mg),SENG (mg),RETINOL (mcg),B-KAR (mcg),KAR -TOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VIT_C (mg),Unnamed: 24
195,ER057,"Mangga golek, segar",DABM-1964,buah,single,82.2,63.0,0.5,0.2,16.7,2.3,0.4,14.0,10.0,0.7,3.0,118.1,0.1,0.1,,160.0,3715.0,0.08,0.02,0.4,65,65.0
196,ER058,"Mangga harumanis,
segar",DABM-1964,buah,single,86.6,46.0,0.4,0.2,11.9,1.7,0.8,15.0,9.0,0.2,2.0,88.9,0.0,0.1,,120.0,1200.0,0.08,0.01,0.3,6,65.0
197,ER059,"Mangga indramayu,
segar",DABM-1964,buah,single,80.2,72.0,0.8,0.2,18.7,2.5,0.1,13.0,10.0,1.9,3.0,131.4,0.1,0.1,,178.0,2900.0,0.06,0.02,0.5,16,65.0
198,ER060,"Mangga kopek, segar",DABM-1964,buah,single,84.5,56.0,0.4,0.2,14.6,2.0,0.3,16.0,10.0,1.7,2.0,102.9,0.0,0.1,,139.0,6520.0,0.03,0.01,0.4,27,65.0
199,ER061,"Mangga kwini, segar",KZGMI-2001,buah,single,78.6,86.0,0.7,0.5,19.8,6.5,0.4,11.0,11.0,0.2,1.0,16.0,0.1,0.1,,932.0,,0.15,0.02,0.5,18,65.0
200,ER062,"Mangga manalagi,
segar",KZGMI-2001,buah,single,66.5,133.0,1.0,0.1,32.1,11.8,0.3,20.0,23.0,1.0,70.0,161.0,0.0,0.0,0.0,4.0,,0.07,0.0,0.6,61,65.0
201,ER063,"Mangga muda, segar",DABM-1964,buah,single,83.7,59.0,0.5,0.4,15.1,,0.3,12.0,11.0,0.4,2.0,108.2,0.1,0.1,,146.0,85.0,0.06,0.02,0.4,2,73.0
202,ER064,"Manggis, segar",DABM-1964,buah,single,83.0,63.0,0.6,0.6,15.6,1.5,0.2,8.0,12.0,0.8,10.0,61.9,0.1,0.1,,0.0,0.0,0.03,0.03,0.3,5,29.0
203,ER065,"Markisa, segar",KZGPI- 1990,buah,single,64.7,144.0,3.5,1.2,29.8,11.4,0.8,27.0,203.0,1.4,37.0,453.8,0.1,0.1,0.0,969.0,691.0,0.02,0.17,2.0,10,48.0
204,ER066,"Matoa, segar",KZGMI-2001,buah,single,76.5,90.0,1.2,0.1,21.1,0.5,1.1,20.0,40.0,0.6,10.0,190.0,0.3,0.6,,2.0,,0.18,0.09,0.5,54,40.0
205,ER067,"Melon, segar",BKP,buah,single,90.8,37.0,0.6,0.4,7.8,1.0,0.5,12.0,14.0,0.4,27.0,167.0,0.3,0.1,,1.0,0.0,0.02,0.1,0.0,0,58.1
206,ER068,"Menteng, segar",DABM-1964,buah,single,79.0,65.0,1.7,0.3,16.1,,2.9,13.0,20.0,0.8,,,,,,,0.0,0.0,,,,64.0
207,ER069,"Nanas palembang,
segar",KZGMI-2001,buah,single,85.5,58.0,0.7,0.2,13.3,1.6,0.3,29.0,15.0,0.6,7.0,117.0,0.0,0.1,,17.0,,0.26,0.03,0.2,11,53.0
208,ER070,"Nanas, segar",KZGPI- 1990,buah,single,88.9,40.0,0.6,0.3,9.9,0.6,0.3,22.0,14.0,0.9,18.0,111.0,0.0,0.1,0.0,17.0,90.0,0.02,0.04,0.2,22,53.0
209,ER071,"Nangka masak pohon,
segar",DABM-1964,buah,single,70.0,106.0,1.2,0.3,27.6,3.7,2.7,20.0,19.0,0.9,2.0,407.0,246.6,1.4,,149.0,330.0,0.07,0.1,1.0,7,28.0
210,ER072,"Pala, daging, segar",DABM-1964,buah,single,88.1,42.0,0.3,0.2,10.9,0.5,0.5,32.0,24.0,1.5,,,,,,,29.0,,,,22,30.0
211,ER073,"Pepaya, segar",DABM-1964,buah,single,86.7,46.0,0.5,12,12.2,1.6,0.6,23.0,12.0,1.7,4.0,221.0,0.0,0.3,,1038.0,365.0,0.04,0.06,0.4,78,75.0
212,ER074,"Pisang ambon, segar",KZGMI-2001,buah,single,72.9,108.0,1.0,0.8,24.3,1.9,1.0,20.0,30.0,0.2,10.0,0.0,0.2,0.2,,37.0,,0.05,0.11,0.1,9,75.0
213,ER075,"Pisang angleng (pisang
ampyang), segar",DABM-1964,buah,single,80.3,68.0,1.3,0.2,17.2,0.8,1.0,10.0,26.0,0.6,23.0,215.7,0.0,0.0,,9.0,76.0,0.08,0.05,2.5,6,75.0
214,ER076,"Pisang ayam, segar",KZGMI-2001,buah,single,71.2,120.0,1.1,0.2,26.8,4.1,0.7,20.0,61.0,0.4,6.0,392.0,0.1,0.3,,24.0,,0.1,0.02,1.0,26,75.0
215,ER077,"Pisang gapi, segar",KZGMI-2001,buah,single,66.3,131.0,1.6,0.1,31.1,11.7,1.0,58.0,40.0,0.3,6.0,392.0,0.1,0.3,,13.0,,0.18,0.02,0.3,13,75.0
216,ER078,"Pisang goroho, segar",KZGMI-2001,buah,single,69.4,119.0,1.5,0.2,27.9,4.6,1.0,2.0,30.0,0.2,36.0,359.0,0.1,0.3,,11.0,,0.15,0.02,1.1,10,75.0
217,ER079,"Pisang hijau, segar",KZGPI- 1990,buah,single,68.9,121.0,1.0,0.1,28.9,0.4,1.1,9.0,37.0,0.9,31.0,529.4,0.3,0.6,,48.0,1000.0,0.13,0.06,0.0,13,72.0
218,ER080,"Pisang kayu, segar",KZGMI-2001,buah,single,74.4,100.0,1.4,0.5,23.6,2.6,0.6,15.0,0.0,0.1,1.0,493.0,0.1,0.3,,3.0,,0.1,0.0,0.6,11,75.0
219,ER081,"Pisang kepok, segar",KZGMI-2001,buah,single,71.9,109.0,0.8,0.5,26.3,5.7,1.0,10.0,30.0,0.5,10.0,300.0,0.1,0.2,,0.0,,0.1,0.0,0.1,9,75.0
220,ER082,"Pisang ketip, segar",KZGMI-2001,buah,single,63.4,145.0,1.1,0.3,34.5,6.6,0.7,5.0,54.0,0.1,4.0,726.0,0.2,0.5,,3.0,,0.13,0.02,0.8,95,75.0
221,ER083,"Pisang kidang, segar",KZGPI- 1990,buah,single,75.4,96.0,1.0,0.2,22.5,0.6,0.9,87.0,173.0,0.6,6.0,418.8,0.2,0.5,,38.0,58.0,0.04,0.1,0.9,2,70.0
222,ER084,"Pisang lampung, segar",DABM-1964,buah,single,72.1,99.0,1.3,0.2,25.6,4.3,0.8,10.0,19.0,0.9,28.0,475.0,0.3,0.5,,43.0,618.0,0.07,0.12,1.0,4,75.0
223,ER085,"Pisang mas bali
ampenan, segar",KZGMI-2001,buah,single,76.8,92.0,1.4,0.2,21.0,3.7,0.5,7.0,29.0,1.2,32.0,272.0,0.2,0.4,,14.0,,0.09,0.03,0.6,11,75.0
224,ER086,"Pisang mas bali
kopang, segar",KZGMI-2001,buah,single,64.2,127.0,1.4,0.2,31.8,3.7,2.4,10.0,0.0,0.1,43.0,616.0,0.1,0.4,,21.0,,0.21,0.05,0.9,17,75.0
225,ER087,"Pisang mas, segar",DABM-1964,buah,single,64.2,127.0,1.4,0.2,33.6,1.4,0.6,7.0,25.0,0.8,42.0,392.0,195.8,0.5,,17.0,79.0,0.09,0.08,4.5,2,85.0
226,ER088,"Pisang raja sereh,
segar",KZGPI- 1990,buah,single,69.3,108.0,1.3,0.3,28.2,0.7,1.0,16.0,38.0,0.1,31.0,522.6,0.3,0.6,,48.0,480.0,0.02,0.08,1.1,2,86.0
227,ER089,"Pisang raja, segar",DABM-1964,buah,single,65.8,120.0,1.2,0.2,31.8,5.3,1.0,10.0,22.0,0.8,35.0,582.2,0.3,0.7,,53.0,950.0,0.06,0.14,1.2,10,70.0
228,ER090,"Pisang rotan, segar",KZGPI- 1990,buah,single,76.1,98.0,1.3,1.2,20.5,1.0,0.9,17.0,51.0,1.1,24.0,406.9,0.2,0.5,,37.0,697.0,0.01,0.1,0.9,2,56.0
229,ER091,"Pisang talas, segar",KZGMI-2001,buah,single,71.0,113.0,1.2,0.2,26.7,4.4,0.9,22.0,22.0,0.6,29.0,48.0,0.3,0.1,,159.0,,0.12,0.03,1.0,9,75.0
